Philippines Emergency Hotline,911
NDRRMC Hotline (NCR),(02) 421-1918
NDRRMC Hotline (CALABARZON),(049) 531-7266
NDRRMC Hotline (Western Visayas),(033) 337-6671
NDRRMC Hotline (Central Visayas),(032) 416-5025
NDRRMC Hotline (Eastern Visayas),(053) 323-8453
NDRRMC Hotline (Davao),(082) 233-2022
NDRRMC Hotline (Ilocos),(072) 607-6528
NDRRMC Hotline (Central Luzon),	(045) 455-1145
NDRRMC Hotline (MIMAROPA),(043) 723-4248
NDRRMC Hotline (Bicol),(052) 481-1656
NDRRMC Hotline (Zamboanga),(062) 215-3984
BFP NCR Hotline,(02) 729-5166 9
BFP Information Desk,(02) 410-631
MMDA Metrobase Hotline,136
MMDA Flood Control,882-4177
MMDA Public Safety Hotline,374
MMDA Roadsafety Hotline,319
MMDA Road Emergency Hotline,320
LTFRB Hotline,1342
PH Red Cross Hotline,143
